Department	undergrad_male	undergrad_female	undergrad_total	graduate_male	graduate_female	graduate_total	total_male	total_female	total
Mathematics	341	300	641	84	39	123	425	339	764
Mechanical Engineering	423	79	502	157	70	227	580	149	729
Medical Physics and Biomedical Engineeri	62	58	120	92	73	165	154	131	285
Laboratory for Molecular Cell Biology	0	0	0	11	19	30	11	19	30
Centre for Multidisciplinary and Intercultura	0	0	0	64	238	302	64	238	302
Natural Sciences	232	192	424	7	4	11	239	196	435
School of Pharmacy	254	538	792	184	488	672	438	1026	1464
Philosophy	100	92	192	47	29	76	147	121	268
Physics and Astronomy	433	149	582	181	46	227	614	195	809
Political Science	56	52	108	218	289	507	274	341	615
Psychology and Human Development	19	92	111	77	655	732	96	747	843
Division of Psychology and Language Scien	123	509	632	270	995	1265	393	1504	1897
UCL Qatar	0	0	0	15	49	64	15	49	64
Security and Crime Science	8	12	20	94	124	218	102	136	238
School of European Languages, Culture and	224	631	855	22	35	57	246	666	912
SSEES - School of Slavonic and East Europ	329	392	721	121	137	258	450	529	979
Science and Technology Studies	32	53	85	26	37	63	58	90	148
Science, Technology, Engineering and Publi	0	0	0	14	15	29	14	15	29
Social Science	24	56	80	50	120	170	74	176	250
Space and Climate Physics	0	0	0	70	26	96	70	26	96
Statistical Science	171	190	361	111	71	182	282	261	543
Sainsbury Wellcome Centre for Neural Circ	0	0	0	3	1	4	3	1	4
Division of Psychiatry	0	0	0	29	133	162	29	133	162
Faculty of Brain Sciences	0	0	0	0	9	9	0	9	9
Cancer Institute	0	0	0	41	74	115	41	74	115
Institute of Cardiovascular Science	0	0	0	33	25	58	33	25	58
Institute of Child Health	5	14	19	79	292	371	84	306	390
Institute of Clinical Trials and Methodology	0	0	0	9	27	36	9	27	36
Ear Institute	0	0	0	25	73	98	25	73	98
Eastman Dental Institute	0	0	0	157	224	381	157	224	381
Institute of Epidemiology and Health Care	9	23	32	53	162	215	62	185	247
Division of Infection and Immunity	12	9	21	36	63	99	48	72	120
UCL Medical School	856	872	1728	62	110	172	918	982	1900
Division of Medicine	55	112	167	94	165	259	149	277	426
Institute of Neurology	0	0	0	218	228	446	218	228	446
Institute of Ophthalmology	0	0	0	52	89	141	52	89	141
Division of Surgery and Interventional Scie	11	3	14	282	232	514	293	235	528
Institute for Women's Health	2	11	13	14	60	74	16	71	87
Arts and Humanities	956	1796	2752	306	685	991	1262	2481	3743
Brain Sciences	123	509	632	594	1528	2122	717	2037	2754
Built Environment	317	320	637	991	1165	2156	1308	1485	2793
Engineering Sciences	2189	933	3122	1584	950	2534	3773	1883	5656
Institute of Education	83	440	523	1560	4454	6014	1643	4894	6537
Laws	241	332	573	194	300	494	435	632	1067
Life Sciences	795	1460	2255	399	775	1174	1194	2235	3429
Mathematical and Physical Sciences	1517	1184	2701	682	376	1058	2199	1560	3759
Medical Sciences	934	996	1930	670	868	1538	1604	1864	3468
Office for International Affairs	0	0	0	15	49	64	15	49	64
Population Health Sciences	34	75	109	259	715	974	293	790	1083
Social and Historical Sciences	1396	1681	3077	835	1208	2043	2231	2889	5120
